continent,location,date,new_cases,new_deaths,new_tests
North America,United States,1/22/2020,,,
North America,United States,1/23/2020,0,,
North America,United States,1/24/2020,1,,
North America,United States,1/25/2020,0,,
North America,United States,1/26/2020,3,,
North America,United States,1/27/2020,0,,
North America,United States,1/28/2020,0,,
North America,United States,1/29/2020,1,,
North America,United States,1/30/2020,0,,
North America,United States,1/31/2020,2,,
North America,United States,2/1/2020,0,,
North America,United States,2/2/2020,0,,
North America,United States,2/3/2020,3,,
North America,United States,2/4/2020,0,,
North America,United States,2/5/2020,0,,
North America,United States,2/6/2020,1,,
North America,United States,2/7/2020,0,,
North America,United States,2/8/2020,0,,
North America,United States,2/9/2020,0,,
North America,United States,2/10/2020,0,,
North America,United States,2/11/2020,1,,
North America,United States,2/12/2020,0,,
North America,United States,2/13/2020,1,,
North America,United States,2/14/2020,0,,
North America,United States,2/15/2020,0,,
North America,United States,2/16/2020,0,,
North America,United States,2/17/2020,0,,
North America,United States,2/18/2020,0,,
North America,United States,2/19/2020,0,,
North America,United States,2/20/2020,0,,
North America,United States,2/21/2020,2,,
North America,United States,2/22/2020,0,,
North America,United States,2/23/2020,0,,
North America,United States,2/24/2020,0,,
North America,United States,2/25/2020,0,,
North America,United States,2/26/2020,0,,
North America,United States,2/27/2020,1,,
North America,United States,2/28/2020,0,,
North America,United States,2/29/2020,8,1,
North America,United States,3/1/2020,7,0,348
North America,United States,3/2/2020,23,5,515
North America,United States,3/3/2020,19,1,617
North America,United States,3/4/2020,33,4,889
North America,United States,3/5/2020,77,1,1203
North America,United States,3/6/2020,53,2,1523
North America,United States,3/7/2020,166,3,1772
North America,United States,3/8/2020,116,4,1638
North America,United States,3/9/2020,75,1,2397
North America,United States,3/10/2020,188,6,3480
North America,United States,3/11/2020,365,5,4832
North America,United States,3/12/2020,439,10,8891
North America,United States,3/13/2020,633,8,11728
North America,United States,3/14/2020,759,7,13047
North America,United States,3/15/2020,234,12,14442
North America,United States,3/16/2020,1467,27,27328
North America,United States,3/17/2020,1833,37,39849
North America,United States,3/18/2020,2657,60,50396
North America,United States,3/19/2020,4494,72,60667
