continent,location,date,total_cases,new_cases,total_deaths
North America,United States,1/22/2020,1,,
North America,United States,1/23/2020,1,0,
North America,United States,1/24/2020,2,1,
North America,United States,1/25/2020,2,0,
North America,United States,1/26/2020,5,3,
North America,United States,1/27/2020,5,0,
North America,United States,1/28/2020,5,0,
North America,United States,1/29/2020,6,1,
North America,United States,1/30/2020,6,0,
North America,United States,1/31/2020,8,2,
North America,United States,2/1/2020,8,0,
North America,United States,2/2/2020,8,0,
North America,United States,2/3/2020,11,3,
North America,United States,2/4/2020,11,0,
North America,United States,2/5/2020,11,0,
North America,United States,2/6/2020,12,1,
North America,United States,2/7/2020,12,0,
North America,United States,2/8/2020,12,0,
North America,United States,2/9/2020,12,0,
North America,United States,2/10/2020,12,0,
North America,United States,2/11/2020,13,1,
North America,United States,2/12/2020,13,0,
North America,United States,2/13/2020,14,1,
North America,United States,2/14/2020,14,0,
North America,United States,2/15/2020,14,0,
North America,United States,2/16/2020,14,0,
North America,United States,2/17/2020,14,0,
North America,United States,2/18/2020,14,0,
North America,United States,2/19/2020,14,0,
North America,United States,2/20/2020,14,0,
North America,United States,2/21/2020,16,2,
North America,United States,2/22/2020,16,0,
North America,United States,2/23/2020,16,0,
North America,United States,2/24/2020,16,0,
North America,United States,2/25/2020,16,0,
North America,United States,2/26/2020,16,0,
North America,United States,2/27/2020,17,1,
North America,United States,2/28/2020,17,0,
North America,United States,2/29/2020,25,8,1
North America,United States,3/1/2020,32,7,1
North America,United States,3/2/2020,55,23,6
North America,United States,3/3/2020,74,19,7
North America,United States,3/4/2020,107,33,11
North America,United States,3/5/2020,184,77,12
North America,United States,3/6/2020,237,53,14
North America,United States,3/7/2020,403,166,17
North America,United States,3/8/2020,519,116,21
North America,United States,3/9/2020,594,75,22
North America,United States,3/10/2020,782,188,28
North America,United States,3/11/2020,1147,365,33
North America,United States,3/12/2020,1586,439,43
North America,United States,3/13/2020,2219,633,51
North America,United States,3/14/2020,2978,759,58
North America,United States,3/15/2020,3212,234,70
North America,United States,3/16/2020,4679,1467,97
North America,United States,3/17/2020,6512,1833,134
North America,United States,3/18/2020,9169,2657,194
North America,United States,3/19/2020,13663,4494,266
North America,United States,3/20/2020,20030,6367,372
North America,United States,3/21/2020,26025,5995,475
North America,United States,3/22/2020,34944,8919,603
North America,United States,3/23/2020,46096,11152,790
North America,United States,3/24/2020,56714,10618,1033
North America,United States,3/25/2020,68841,12127,1366
North America,United States,3/26/2020,86662,17821,1783
North America,United States,3/27/2020,105253,18591,2305
North America,United States,3/28/2020,127417,22164,3018
North America,United States,3/29/2020,143544,16127,3573
North America,United States,3/30/2020,165698,22154,4280
North America,United States,3/31/2020,192079,26381,5359
North America,United States,4/1/2020,227893,35814,6996
North America,United States,4/2/2020,260169,32276,8545
North America,United States,4/3/2020,292609,32440,9973
North America,United States,4/4/2020,324328,31719,11593
North America,United States,4/5/2020,353103,28775,13216
North America,United States,4/6/2020,385094,31991,14979
North America,United States,4/7/2020,415244,30150,17585
North America,United States,4/8/2020,446488,31244,19737
North America,United States,4/9/2020,482510,36022,21993
North America,United States,4/10/2020,516699,34189,24207
North America,United States,4/11/2020,545678,28979,26311
North America,United States,4/12/2020,571536,25858,28194
North America,United States,4/13/2020,598780,27244,30195
North America,United States,4/14/2020,627277,28497,32676
North America,United States,4/15/2020,653652,26375,35300
North America,United States,4/16/2020,683325,29673,37487
North America,United States,4/17/2020,716473,33148,39591
North America,United States,4/18/2020,743798,27325,41534
North America,United States,4/19/2020,768833,25035,43501
North America,United States,4/20/2020,799486,30653,45787
North America,United States,4/21/2020,825427,25941,48239
North America,United States,4/22/2020,855373,29946,50704
North America,United States,4/23/2020,887423,32050,53132
North America,United States,4/24/2020,918920,31497,55196
North America,United States,4/25/2020,949511,30591,56935
North America,United States,4/26/2020,975376,25865,58350
North America,United States,4/27/2020,1000114,24738,59837
North America,United States,4/28/2020,1024641,24527,62069
North America,United States,4/29/2020,1051440,26799,64443
North America,United States,4/30/2020,1080999,29559,66635
North America,United States,5/1/2020,1115845,34846,68515
North America,United States,5/2/2020,1142454,26609,70258
North America,United States,5/3/2020,1166033,23579,71461
North America,United States,5/4/2020,1190053,24020,72831
North America,United States,5/5/2020,1214105,24052,75010
North America,United States,5/6/2020,1238495,24390,77331
North America,United States,5/7/2020,1266120,27625,79237
North America,United States,5/8/2020,1293257,27137,81006
North America,United States,5/9/2020,1317402,24145,82477
North America,United States,5/10/2020,1336095,18693,83478
North America,United States,5/11/2020,1355353,19258,84504
North America,United States,5/12/2020,1378837,23484,86096
North America,United States,5/13/2020,1398905,20068,87791
North America,United States,5/14/2020,1424783,25878,89560
North America,United States,5/15/2020,1449610,24827,91188
North America,United States,5/16/2020,1473495,23885,92357
North America,United States,5/17/2020,1492122,18627,93172
North America,United States,5/18/2020,1514513,22391,94394
North America,United States,5/19/2020,1535062,20549,95822
North America,United States,5/20/2020,1557900,22838,97292
North America,United States,5/21/2020,1582993,25093,98474
North America,United States,5/22/2020,1606824,23831,99678
North America,United States,5/23/2020,1626709,19885,100756
North America,United States,5/24/2020,1646821,20112,101395
North America,United States,5/25/2020,1665995,19174,101995
North America,United States,5/26/2020,1684687,18692,102648
North America,United States,5/27/2020,1703488,18801,104100
North America,United States,5/28/2020,1724617,21129,105166
North America,United States,5/29/2020,1749394,24777,106275
North America,United States,5/30/2020,1772108,22714,107223
North America,United States,5/31/2020,1790871,18763,107846
North America,United States,6/1/2020,1808724,17853,108613
North America,United States,6/2/2020,1828784,20060,109584
North America,United States,6/3/2020,1847869,19085,110584
North America,United States,6/4/2020,1875676,27807,111582
North America,United States,6/5/2020,1902014,26338,112452
North America,United States,6/6/2020,1922168,20154,113090
North America,United States,6/7/2020,1939976,17808,113550
North America,United States,6/8/2020,1956893,16917,114052
North America,United States,6/9/2020,1977230,20337,114961
North America,United States,6/10/2020,1999006,21776,115819
North America,United States,6/11/2020,2021315,22309,116630
North America,United States,6/12/2020,2046869,25554,117453
North America,United States,6/13/2020,2070998,24129,118159
North America,United States,6/14/2020,2089949,18951,118507
North America,United States,6/15/2020,2111054,21105,118905
North America,United States,6/16/2020,2135693,24639,119681
North America,United States,6/17/2020,2162775,27082,120422
North America,United States,6/18/2020,2191015,28240,121119
North America,United States,6/19/2020,2222001,30986,121750
North America,United States,6/20/2020,2253863,31862,122313
North America,United States,6/21/2020,2279721,25858,122632
North America,United States,6/22/2020,2309713,29992,123011
North America,United States,6/23/2020,2348599,38886,123741
North America,United States,6/24/2020,2384908,36309,124496
North America,United States,6/25/2020,2424260,39352,125047
North America,United States,6/26/2020,2473331,49071,125676
North America,United States,6/27/2020,2514149,40818,126175
North America,United States,6/28/2020,2557062,42913,126498
North America,United States,6/29/2020,2598611,41549,126869
North America,United States,6/30/2020,2648650,50039,127418
North America,United States,7/1/2020,2697982,49332,128120
North America,United States,7/2/2020,2753057,55075,128862
North America,United States,7/3/2020,2804702,51645,129541
North America,United States,7/4/2020,2850717,46015,129848
North America,United States,7/5/2020,2904662,53945,130171
North America,United States,7/6/2020,2948300,43638,130556
North America,United States,7/7/2020,3005722,57422,131700
North America,United States,7/8/2020,3066207,60485,132542
North America,United States,7/9/2020,3126013,59806,133578
North America,United States,7/10/2020,3194754,68741,134383
North America,United States,7/11/2020,3255174,60420,135136
North America,United States,7/12/2020,3315390,60216,135613
North America,United States,7/13/2020,3375015,59625,136056
North America,United States,7/14/2020,3440751,65736,136951
North America,United States,7/15/2020,3507040,66289,137912
North America,United States,7/16/2020,3577799,70759,138883
North America,United States,7/17/2020,3644239,66440,139806
